Serial No,Exercise Name,Muscle Group,Intensity Level,Suitable for BMI Case,Suitable for BFP Case,Reps,Sets,Duration (minutes),Rest (seconds),Gifs,instructions
67,Hanging Leg Raise,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Hanging-Knee-Raises.gif,"1.Hang from a pull-up bar with your arms extended and legs straight.
2.Engage your core and raise your legs until they are parallel to the ground.
3.Slowly lower your legs back down to the starting position and repeat."
68,Rope Face Pulls,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Face-Pull.gif,"1.Stand facing a cable machine with a rope attachment set at eye level, holding the ends of the rope with both hands.
2.Pull the rope towards your face, keeping your elbows high and squeezing your shoulder blades together.
3.Slowly return to the starting position and repeat."
69,Step Mill,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Walking-on-Stepmill.gif,"1.Step onto the Step Mill (or StairMaster), and select your desired speed.
2.Begin climbing the moving steps, keeping a steady pace.
3.Maintain posture and balance as you continue stepping."
70,Incline Treadmill Walk,Cardio,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,30,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-Treadmill.gif,"1.Set the treadmill at an incline (around 10-15%) and a walking speed.
2.Walk at a steady pace, keeping your posture upright.
3.Continue for your desired duration while focusing on your breathing and form.
"
71,Medicine Ball Woodchops,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/medical-ball-wood.gif,"1.Stand with feet shoulder-width apart, holding a medicine ball with both hands.
2.Rotate your torso and lift the ball above one shoulder, then swing it diagonally down across your body towards the opposite knee.
3.Return to the starting position and repeat on the other side..
"
72,Reverse Lunge,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Obese, Normal, Overweight",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/bodyweight-reverse-lunge.gif,"1Stand with feet hip-width apart, hands on your hips or holding dumbbells at your sides.
2.Step one leg back into a lunge, lowering your back knee toward the ground.
3.Push through your front heel to return to standing and repeat with the other leg.
"
73,Chest Dips,Chest,High,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",10,4,40,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Chest-Dips.gif,"1.Grab the dip bars with your palms facing inward and lift yourself up, extending your arms.
2.Lower your body by bending your elbows until your chest dips just below the bars.
3.Push yourself back up to the starting position, keeping your core engaged.
"
74,Landmine Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Obese, Normal, Overweight",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/landmind-press.gif,"1.Place one end of a barbell into a landmine attachment or secure it in a corner.
2.Stand with feet shoulder-width apart, holding the free end of the barbell with one hand at shoulder height.
3.Press the barbell up and forward, then lower it back down with control and repeat."
75,Hanging Knee Raise,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Hanging-Knee-Raises.gif,"1.Hang from a pull-up bar with your arms fully extended and knees slightly bent.
2.Engage your core and lift your knees towards your chest.
3.Lower your knees back to the starting position and repeat."
76,Dumbbell Front Raise,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Alternating-Dumbbell-Front-Raise.gif,"1.Stand with feet hip-width apart, holding dumbbells in front of your thighs with palms facing down.
2.Raise the dumbbells straight in front of you to shoulder height.
3.Lower the dumbbells back down with control and repeat."
77,Barbell Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/BARBELL-SQUAT.gif,"1. Position a barbell on your upper back, standing with feet shoulder-width apart.
Lower your body into a squat by bending at your hips and knees, keeping your back straight.
Push through your heels to return to standing and repeat.
"
78,Dumbbell Bench Press,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/16241301-Dumbbell-Reverse-Bench-Press_Chest_360.gif,"1Lie on a flat bench holding dumbbells at chest level, palms facing forward.
Press the dumbbells up until your arms are fully extended above your chest.
Lower the dumbbells back down to the starting position and repeat.
"
79,Kettlebell Swings,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,3,25,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Kettlebell-Swings.gif,"1.Stand with feet shoulder-width apart, holding a kettlebell with both hands.
Bend your knees slightly and swing the kettlebell between your legs.
Drive through your hips to swing the kettlebell up to shoulder height, then let it swing back down.
"
80,Dumbbell Kickback,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Kickback.gif,"1.Hold a dumbbell in one hand and bend forward at the waist, keeping your back straight.
Keeping your upper arm close to your body, extend your elbow to straighten your arm behind you.
Lower the dumbbell back down and repeat on the other arm.
"
81,Seated Calf Raise,Calves,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Weighted-Seated-Calf-Raise.gif,"1. Sit on the calf raise machine with your feet positioned on the platform and your knees under the padded bar.
Push through the balls of your feet to raise your heels as high as possible.
Slowly lower your heels back down below the platform and repeat.
"
82,Cable Lateral Raise,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Cable-Lateral-Raise.gif,"1. Stand next to a cable machine with the handle set to the lowest position.
Hold the handle with one hand and raise your arm out to the side until it reaches shoulder height.
Slowly lower the handle back down and repeat on the other side.
"
83,Dumbbell Deadlift,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/dumbbell-deadlifts.gif,"1.Stand with feet hip-width apart, holding dumbbells in front of your thighs.
2.Hinge at the hips and lower the dumbbells towards the floor, keeping your back straight and knees slightly bent.
3.Push through your heels to return to standing, lifting the dumbbells back to the starting position.
"
84,Renegade Rows,Back,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Kettlebell-Renegade-Row.gif,"1.Start in a plank position with hands gripping dumbbells on the floor.
2.Row one dumbbell up towards your waist while stabilizing your body with the other hand.
3.Lower the dumbbell back down and repeat on the other side.
"
85,Reverse Pec Deck Fly,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Reverse-Fly.gif,"1.Sit on the pec deck machine facing the pads, gripping the handles with your arms extended out in front of you.
Open your arms, pulling the handles out to the sides, squeezing your shoulder blades together.
Slowly return to the starting position and repeat.
"
86,Dumbbell Side Bend,Core,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Side-Bend.gif,"1Stand with feet shoulder-width apart, holding a dumbbell in one hand.
Bend at your waist towards the side holding the dumbbell, lowering it down your leg.
Return to the upright position and repeat on the other side.
"
87,Plank,Core,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,5,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/plank.gif,"1. Get into a push-up position but rest on your forearms instead of your hands.
2.Keep your body in a straight line from your shoulders to your feet, engaging your core.
3.Hold this position for as long as you can, keeping your body stable.
"
88,Push-Ups,Chest,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Push-Up.gif,"1.Start in a plank position with your hands slightly wider than shoulder-width apart.
Lower your body by bending your elbows until your chest nearly touches the ground.
Push through your palms to return to the starting position and repeat.
"
89,Walking Lunges,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Lunge.gif,"1.Stand with feet together, holding dumbbells at your sides or hands on your hips.
2.Step forward with one leg and lower your body into a lunge, bending both knees at 90 degrees.
3.Push through your front heel to step forward into the next lunge, alternating legs as you walk.
"
90,Overhead Tricep Extension,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Seated-One-Arm-Dumbbell-Triceps-Extension.gif,"1.Stand with feet shoulder-width apart, holding a dumbbell overhead with both hands.
2.Bend your elbows to lower the dumbbell behind your head.
3.Extend your arms to raise the dumbbell back overhead and repeat.
"
91,Single Arm Dumbbell Row,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Row.gif,"1.Place one knee and one hand on a bench, holding a dumbbell in the opposite hand.
Row the dumbbell up towards your waist, keeping your back straight and elbow close to your body.
Lower the dumbbell back down and repeat on the other side.
"
92,Jump Rope,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,10,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Jump-Rope.gif,"1. Hold the jump rope handles with the rope behind you.
2.Swing the rope over your head and jump as it passes under your feet.
3.Keep a steady rhythm, jumping continuously as the rope swings around.
"
93,Cable Woodchoppers,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/woodchopper.gif,"1.Stand next to a cable machine with the handle set to the highest position, holding the handle with both hands.
Pull the handle diagonally down across your body, twisting your torso as you go.
Slowly return to the starting position and repeat on the other side.
"
94,Mountain Climbers,Core,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,15,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Mountain-climber.gif,"1. Start in a plank position with your hands shoulder-width apart and your body in a straight line.
2.Bring one knee towards your chest, then quickly switch legs, mimicking a running motion.
3.Continue alternating legs, maintaining a steady pace.
"
95,Barbell Deadlift,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Deadlift.gif,"1.Stand with feet hip-width apart, gripping the barbell with both hands just outside your knees.
2.Hinge at the hips and lower your body to grab the barbell, keeping your back straight.
3.sPush through your heels to stand up, lifting the barbell to hip level, then lower it back down with control."
96,Dumbbell Row to Triceps Kickback,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Kickback.gif,"1.Start in a bent-over position, holding a dumbbell in one hand with your back straight.
2.Row the dumbbell up to your waist, then extend your arm straight back for a triceps kickback.
3.Lower the dumbbell back down and repeat on the other side.and triceps. Lock your elbows at the top to complete the rep.
"
97,Decline Push-Ups,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Decline-Push-Up.gif,"1.Place your feet on an elevated surface, such as a bench, and your hands on the ground.

2. Lower your chest towards the ground by bending your elbows.
3.Push back up to the starting position and repeat.

"
98,Dumbbell Step-Ups,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbeel-Step-Up.gif,"1.Stand in front of a bench or step, holding dumbbells at your sides.

2Step one foot onto the bench, driving through your heel to lift your body up.

3Step down with the opposite foot and repeat on the other side.
"
99,Bicycle Crunches,Core,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Bicycle-Crunch.gif,"1. Lie on your back with your hands behind your head and your legs lifted in a tabletop position.

2Bring one knee towards your chest while twisting your torso to bring the opposite elbow towards the knee.

3Switch sides, alternating between your left and right knees and elbows.
"
100,Sled Push,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/sled.gif,"1. Load the sled with weights and stand behind it with your hands on the handles.

2.Lean forward slightly and push the sled by driving through your legs.

3.Push the sled forward for the desired distance or time.
"
101,Barbell Bench Press,Chest,High,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",10,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bench-Press.gif,"1. Lie flat on a bench, grip the barbell slightly wider than shoulder-width apart.

2.Lower the barbell towards your chest, keeping your elbows at a 45-degree angle..

3. Push the barbell back up to the starting position and repeat.
"
102,Dumbbell Tricep Dips,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Triceps-Dips-on-Floor.gif,"1.Sit on a bench with your hands gripping the edge, and your feet flat on the floor in front of you.

2. Slide off the bench, lowering your body by bending your elbows to a 90-degree angle.

3. Push back up through your hands to extend your arms and repeat.
"
103,Hyperextensions,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Twisting-Hyperextension.gif,"1. Position yourself on a hyperextension bench, locking your feet under the pads.

2.Lower your upper body towards the ground, keeping your back straight.

3. Raise your torso back up until your body forms a straight line and repeat.
"
104,Standing Military Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Standing-Military-Press.gif,"1.  Stand with your feet shoulder-width apart, holding a barbell at shoulder level

2.Press the barbell overhead by fully extending your arms.

3. Lower the barbell back to shoulder height and repeat.
"
105,Sumo Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/dumbbell-sumo-squat.gif,"1.Stand with your feet wider than shoulder-width, toes pointing outwards, holding a dumbbell or kettlebell in front of you.

2.Lower your hips into a squat position, keeping your knees in line with your toes.

3.Push through your heels to return to standing and repeat.
"
106,Russian Twists with Medicine Ball,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Russian-Twist.gif,"1Sit on the floor with your knees bent, holding a medicine ball in front of your chest.

2. Lean back slightly, then twist your torso to one side, tapping the medicine ball on the ground next to you.

3. Twist to the opposite side and repeat.
"
107,Lateral Band Walks,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/walk.gif,"1. Place a resistance band around your legs just above your knees, and stand with feet shoulder-width apart.

2. Step sideways with one leg, followed by the other leg, maintaining tension in the band.

3.Continue walking sideways for the desired distance, then repeat in the opposite direction.
"
108,Alternating Dumbbell Press,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Press-1.gif,"1. Lie on a bench holding dumbbells at shoulder level.

2Press one dumbbell overhead while keeping the other at shoulder height.

3.Lower the dumbbell back down and press the opposite one, alternating between sides.
"
109,Tricep Kickbacks,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Cable-Tricep-Kickback.gif,"1. Bend over at the waist with a cable in each hand, elbows bent at 90 degrees.

2.Extend your arms straight back, contracting your triceps.

3. Lower the cable back to the starting position and repeat.
"
110,T-Bar Row,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/t-bar-rows.gif,"1.Stand over the T-bar with a wide grip on the handles.

2. Hinge at your hips and pull the T-bar towards your chest, keeping your elbows close to your body. 

3. Lower the bar back down and repeat.
"
111,Box Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Bodyweight-Box-Squat.gif,"1.Stand in front of a box or bench, holding a barbell across your upper back.
2. Lower your hips into a squat position until you sit on the box.

3.Stand back up by pushing through your heels and repeat."
112,Cable Face Pulls,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Face-Pull.gif,"1.Stand in front of a cable machine with the handle set at eye level.

2.Grip the handle with both hands and pull it towards your face, keeping your elbows high.

3. Slowly return the handle to the starting position and repeat.
"
113,Dumbbell Bulgarian Split Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Bulgarian-Split-Squat.gif,"1.Stand in front of a bench, placing one foot behind you on the bench.

2.Lower your hips into a squat position, bending your front knee to 90 degrees.

3. Push through your front heel to return to standing and repeat on the other leg.
"
114,Cardio Kickboxing,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,30,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/cardio-boxing.gif,"1.Start in a fighting stance with hands up and feet staggered.

2.Throw punches, kicks, and combinations while moving quickly.     

3. Continue for the desired time, maintaining high intensity.
"
115,Dumbbell Bench Press (Incline),Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-Dumbbell-Press.gif,"1. Lie on an incline bench holding dumbbells at shoulder level.

2.Press the dumbbells overhead by extending your arms fully.

3. Lower the dumbbells back to the starting position and repeat.
"
116,Kettlebell Goblet Squat,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",12,4,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/kettlebell-goblet-squat.gif,"1.Hold a kettlebell by the horns close to your chest.

2.Lower your hips into a squat position, keeping your chest upright.

3. Push through your heels to return to standing and repeat.
"
117,Decline Bench Press,Chest,High,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",10,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Decline-Barbell-Bench-Press.gif,"1. Lie on a decline bench, gripping the barbell slightly wider than shoulder-width..
Lower the barbell to your lower chest, keeping your elbows at a 45-degree angle.
3. Push the barbell back up to the starting position and repeat.
"
118,Lying Leg Raises,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lying-Leg-Raise.gif,"1.Lie flat on your back with your legs extended.

2. Lift your legs towards the ceiling, keeping them straight.

3Slowly lower your legs back down without letting them touch the ground and repeat.
"
119,High Knees,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,15,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/High-Knee-Run.gif,"1. Stand with feet shoulder-width apart and arms at your sides.

2. Run in place, driving your knees up towards your chest as high as possible.

3. Continue for the desired time, moving quickly.
"
120,Chest Press Machine,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/chest-press.gif,"1.Sit on the machine with your back against the pad and your feet flat on the floor.

2. Grip the handles and press them forward by extending your arms.

3.Slowly return the handles to the starting position and repeat.
"
121,Rope Slams,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Battle-Rope.gif,"1. Stand with your feet shoulder-width apart, gripping a battle rope in each hand.

2.Raise both arms overhead, then slam the ropes down towards the ground with force.

3. Repeat, maintaining a steady rhythm.
"
122,Kettlebell Clean and Press,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,3,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Kettlebell-Clean-and-Press.gif,"1. Stand with your feet shoulder-width apart, holding a kettlebell in one hand.

2.Clean the kettlebell to shoulder height by using a hip drive, then press it overhead.

3. Lower the kettlebell back down and repeat on the other side.
"
123,Leg Press,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Leg-Press.gif,"1. Sit on the leg press machine with your feet shoulder-width apart on the platform.

2. Push the platform away from you by extending your legs.

3.Lower the platform back down to the starting position and repeat.
"
124,Arnold Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Arnold-Press.gif,"1.Sit on a bench with dumbbells held at shoulder height, palms facing you.

2.Rotate your wrists as you press the dumbbells overhead, ending with your palms facing forward.

3. Lower the dumbbells back to the starting position, reversing the wrist rotation.
"
125,Ab Wheel Rollouts,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Ab-Wheel-Rollout.gif,"1. Kneel on the floor, gripping an ab wheel with both hands.

2.Roll the wheel forward, extending your body into a plank position.

3. Pull the wheel back towards your knees and repeat.
"
126,Dumbbell Front Squat,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/dumbell-front-squat.gif,"1.Stand with feet shoulder-width apart, holding dumbbells at shoulder height.

2.Lower your hips into a squat position, keeping your chest upright.

3. Push through your heels to return to standing and repeat.
"
127,Battle Ropes,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Battle-Rope.gif,"1. Stand with feet shoulder-width apart, gripping a battle rope in each hand.

2.Move your arms up and down quickly, creating waves in the rope.

3. Continue for the desired time, maintaining a fast pace..
"
128,Weighted Pull-Ups,Back,High,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",10,4,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Weighted-Pull-up.gif,"1. Attach a weight belt or hold a dumbbell between your legs.

2. Hang from a pull-up bar with an overhand grip, slightly wider than shoulder-width.

3Pull yourself up until your chin is above the bar, then lower yourself back down and repeat.
"
129,Treadmill Running,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,30,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-Treadmill.gif,"1Set your treadmill to a comfortable running speed.

2. Maintain a steady pace while keeping proper running form—head up, back straight, and arms swinging naturally.

3. Run for your desired distance or time."
130,Dumbbell Hammer Curl,Biceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Hammer-Curl.gif,"1. Stand with a dumbbell in each hand, arms fully extended by your sides, palms facing your body.

2.Curl the dumbbells towards your shoulders without rotating your wrists.

3.Lower the dumbbells back down and repeat.
"
131,Side Plank,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Side-Plank-1-360x360.png,"1Lie on your side with your legs straight and your elbow directly beneath your shoulder.
Lift your hips off the ground, forming a straight line from your head to your feet.

3. Hold this position, then switch to the other side and repeat.
"
132,Lateral Raises,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Seated-Rear-Lateral-Dumbbell-Raise.gif,"1.Stand with a dumbbell in each hand at your sides, palms facing inward.

2.Raise both arms out to the sides until they reach shoulder height.

3.Lower the dumbbells back down and repeat.
"
133,Goblet Squat,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/kettlebell-goblet-squat.gif,"1.Hold a kettlebell or dumbbell close to your chest with both hands. 

2Lower your hips into a squat position, keeping your chest upright.
3.Push through your heels to return to standing and repeat.

"
